% Model:              all_models_oak_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:19
% Table:              700tempsOak - 
% Time                   Tv (K)                   Tst (K), Point: 71       Tc (K), Point: 74        Tl (K), Point: 75        Tw (K), Point: 76        Tsa (K)
0                        293.6585753473599        297.15938256069904       293.1521234632694        297.4385804374324        297.6550797003721        297.94817093734395
0.05                     434.12332648601347       463.712249925393         405.4386796104988        449.90507294829564       434.82969297221695       453.087775756753
0.1                      514.8447473777934        542.2145762022633        488.52517836041824       523.2786050776919        511.3889903186917        529.8220949465554
0.15000000000000002      570.1467137844884        593.7731914179225        547.3062411215553        575.0387904951117        565.4959629587638        582.1493871132296
0.2                      610.4445681748914        630.4481780814687        591.0234353334371        613.46902254338          605.7176197554056        620.1813142762701
0.25                     641.2812793989268        658.1164885577901        624.8866134496168        643.2058314183797        636.8630134534185        649.2404856724095
0.30000000000000004      665.515108946834         679.6463073449371        651.7219108855677        666.7535661433924        661.5384489585875        672.0537514468515
0.35000000000000003      684.6744333482671        696.5245427128234        673.0876913494814        685.4913395702962        681.1821270205902        690.074438507464
0.4                      700.0609643491001        709.9974161473501        690.3322943342727        700.6091600796525        697.0352156593327        704.5377658468544
0.45                     712.5435654360294        720.8780640775176        704.3747806212459        712.9163132125773        709.9435240819162        716.2660797260393
0.5                      722.7822953619112        729.7724802970928        715.9253088075656        723.0371660070018        720.5603085201396        725.882829953799
0.55                     731.3529549762538        737.2017540303402        725.6112152266323        731.5226498157888        729.4622323733804        733.931054559002
0.6000000000000001       738.4468079312388        743.3363350943372        733.6436953059388        738.5584681946441        736.8441320113495        740.5909075160486
0.65                     744.2486486801655        748.3414186562848        740.2262575935281        744.3235244918056        742.893623915926         746.0364936251439
0.7000000000000001       749.1156155464057        752.5342279366101        745.7543433081754        749.1646760366699        747.974012214665         750.6039979145518
0.75                     753.0696304236592        755.9339482615597        750.2525337318659        753.1034715038155        752.1078847927812        754.3140245714947
0.8                      756.4240815858466        758.8164963267975        754.070463598096         756.4465259829198        755.6165808614994        757.4613105001846
0.8500000000000001       759.1622481644089        761.1664524988666        757.1902078847203        759.1780521227204        758.4836175674823        760.0300536839195
0.9                      761.4626029157786        763.1397685742719        759.8121103951903        761.4736226672213        760.893115549613         762.1879766805779
0.9500000000000001       763.3752391958255        764.7795146463592        761.9931527808899        763.3831308895449        762.8974455746088        763.9820823859595
1                        764.9559757572516        766.1341319064826        763.7963506588695        764.9617805253862        764.5545220358474        765.4647925670527
1                        764.9559757572516        766.1341319064826        763.7963506588695        764.9617805253862        764.5545220358474        765.4647925670527
1.1                      767.5622246879195        768.3673490326041        766.7696004148748        767.5646713106836        767.286584872339         767.9093888418707
1.2                      769.3751863115627        769.9199929326849        768.8387350799659        769.3759131514536        769.1876104647563        769.6098035642749
1.3                      770.6690759373267        771.0277080106104        770.315884774863         770.6690107058555        770.5449596947345        770.8233329521842
1.4                      771.5066027708855        771.7442853486328        771.2725109327697        771.5064324589861        771.4240914708179        771.6087966272066
1.5                      772.0791855067458        772.2341049391312        771.9265923640579        772.0789957253345        772.0252704778082        772.1457780288465
1.6                      772.4670448377           772.5658434754932        772.3697236540581        772.4669039028824        772.4326010504808        772.5095157842015
1.7000000000000002       772.7025407740789        772.7672415198074        772.6388095087146        772.7024666917089        772.6799803847692        772.730364024008
1.8                      772.8782623674987        772.9175405819597        772.8395727226733        772.8782220535722        772.864539221473         772.8951578191372
1.9                      772.9817278233464        773.0060372365441        772.9577837017862        772.9817117981077        772.9732093279088        772.992188895702
2                        773.0766366478712        773.087219589885         773.0662115670957        773.0766259760546        773.072854480554         773.0811955364837
2.1                      773.1407771862774        773.1420879498688        773.139482140851         773.1407562297301        773.1401596616496        773.1413473427633
2.2                      773.174149438605         773.1706423164957        773.1775954230525        773.1741025591338        773.1751248711955        773.17264431454
2.3                      773.2027957507655        773.1951507370217        773.2103164704125        773.2027444522081        773.205185272052         773.1995096276495
2.4000000000000004       773.2177141221241        773.2079158643979        773.2273564610679        773.2176670695625        773.2208574116532        773.2135009764739
2.5                      773.2157822078058        773.2062678729404        773.2251467160066        773.215743613147         773.2188519534176        773.2116901463668
2.6                      773.2068439195996        773.1986260263569        773.2149333543301        773.2068141730382        773.2094985131728        773.2033085547672
2.7                      773.2044020842199        773.1965389713605        773.2121426010522        773.2043763338063        773.2069661546304        773.2010188741046
2.8                      773.1977073675287        773.1908130579843        773.2044939425666        773.1976849344796        773.1999751655122        773.1947406004963
2.9000000000000004       773.1867597695212        773.1814482862281        773.1919873788743        773.1867399750577        773.1885255458187        773.1844737339519
3                        773.1804776496592        773.1760745817734        773.1848110117146        773.1804610022948        773.1819558483878        773.1785823456302
3.1                      773.1746464738835        773.1710862835133        773.1781502670368        773.1746329210292        773.1758529690603        773.1731138405372
3.2                      773.168854251372         773.1661309208912        773.1715344972828        773.1688436856215        773.1697855058727        773.1676818336623
3.3000000000000003       773.1638055057214        773.1618114997785        773.1657680511919        773.1637976178898        773.1644932747058        773.162947056724
3.4000000000000004       773.1600988824621        773.1586404044284        773.1615343974458        773.1600931919551        773.1606049095839        773.1594709445833
3.5                      773.1571711757581        773.1561355836343        773.1581905285736        773.1571673632457        773.1575289914923        773.1567252991989
3.6                      773.1550136015           773.1542895265878        773.1557264063399        773.1550113456591        773.1552564998403        773.154701883049
3.7                      773.1531299959021        773.1526779912795        773.1535750290241        773.1531288631924        773.1532779137248        773.1529354054953
3.8000000000000003       773.151797233826         773.1515377179489        773.1520528012261        773.1517968532947        773.151877561661         773.1516855131937
3.9000000000000004       773.1510153152308        773.1508687065964        773.1511597229459        773.1510153159661        773.1510554436493        773.15095220613
