% Model:              all_models_oak_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:19
% Table:              400tempsOak - 
% Time                   Tv (K)                   Tst (K), Point: 84       Tc (K), Point: 87        Tl (K), Point: 88        Tw (K), Point: 89        Tsa (K)
0                        293.8999909063851        298.196402083809         293.15011114245516       297.9042122619213        297.8543200555573        298.4301022005512
0.05                     478.91433022337          499.5699408356373        456.72755464979423       482.4642356431898        475.5516922516891        491.1236986010839
0.1                      570.1859882751788        585.8242954552152        553.460402667761         571.4491386529273        566.579645315773         578.7973650396347
0.15000000000000002      627.3236284899469        638.9393233291919        614.9164006161328        627.9164180646553        624.3840273141924        633.5644351888036
0.2                      665.7217224550539        674.4138182964932        656.4420106011846        666.048883038919         663.432881638511         670.3388970071849
0.25                     693.0540930901594        699.6006942357387        686.0671094086916        693.2446153786577        691.2873429015706        696.5061905485036
0.30000000000000004      713.081799577754         718.0272585479818        707.8048280923331        713.195342481552         711.7239690457634        715.6758787049159
0.35000000000000003      727.7458556830697        731.5015607133555        723.7389030309215        727.8173279358926        726.7034010747226        729.709205365769
0.4                      738.6610913555646        741.5231751268474        735.6077977459673        738.7078767164874        737.860772566115         740.1538067631508
0.45                     746.8638191467097        749.0503545161166        744.5313547148938        746.895333249179         746.2491305057571        748.0022730515802
0.5                      753.1042824885769        754.774743254085         751.3224208843073        753.1258772075297        752.6327647514205        753.9729062663448
0.55                     758.0043208489061        759.2685351048372        756.6558450633222        758.0188677526917        757.646135200383         758.6609155607707
0.6000000000000001       761.7540945201648        762.7065482126311        760.7381819013387        761.7639533601249        761.4834360685289        762.2483031031595
0.65                     764.5404699305768        765.2606077906111        763.7723681219377        764.5474451934266        764.3354599841095        764.9139218265622
0.7000000000000001       766.7067368893697        767.2460389817228        766.1315197775468        766.7116466322649        766.5529745281398        766.9862757222191
0.75                     768.2711775095654        768.6796086501166        767.8355375771796        768.274816828392         768.1546833657553        768.4828556696912
0.8                      769.5110815612873        769.815807165314         769.1860541673935        769.5137124858828        769.4241082261425        769.6689784215083
0.8500000000000001       770.4033398753697        770.6333613969094        770.1579934639998        770.4053151740834        770.3376804006707        770.5225236960048
0.9                      771.0913339176152        771.263757912332         770.9074226326467        771.0928009587349        771.0421036156283        771.1806674515493
0.9500000000000001       771.604068499819         771.7335563954401        771.4659541763104        771.6051660272578        771.5670922779535        771.6711539648326
1                        771.9810415688943        772.0789595516587        771.876600361315         771.9818674048026        771.9530773837226        772.0317692425851
1                        771.9810415688943        772.0789595516587        771.876600361315         771.9818674048026        771.9530773837226        772.0317692425851
1.1                      772.569701325053         772.6183164915417        772.5178438197645        772.5700903727153        772.5558103555793        772.5948846094005
1.2                      772.8989950364889        772.920019784107         772.8765602013161        772.8991308895623        772.8929819935179        772.9098869289966
1.3                      773.088703421946         773.0938363376748        773.0832208794775        773.0887122964324        773.0872291119124        773.0913628051195
1.4                      773.1601804432435        773.1593248591762        773.1610882084891        773.1601524354203        773.1604188591474        773.1597380665743
1.5                      773.1898706435916        773.1865265092007        773.1934326297898        773.1898266642947        773.1908234874438        773.1881396666748
1.6                      773.195374473912         773.1915691455333        773.1994289776827        773.1953307577185        773.1964612685723        773.1934046712719
1.7000000000000002       773.1862592596797        773.183218915577         773.1894994272535        773.1862255427029        773.1871278288521        773.1846852679998
1.8                      773.1795570024956        773.1770790795701        773.1821983399848        773.1795311678635        773.1802648514968        773.1782740301577
1.9                      773.1702593724937        773.1685612068063        773.1720698213076        773.1702425579084        773.1707440154348        773.1693800245287
2                        773.1646304864444        773.1634043257554        773.1659379342208        773.1646188907253        773.164980144151         773.163995479576
2.1                      773.1604860825361        773.1596072699004        773.1614231668515        773.1604776266599        773.160736425258         773.1600309393926
2.2                      773.15782616073          773.1571700392409        773.1585255191997        773.1578187657121        773.1580128587565        773.1574864039653
2.3                      773.1552100305366        773.154773173381         773.1556756006551        773.1552046712922        773.155334132407         773.1549838222318
2.4000000000000004       773.1531356922716        773.1528727673018        773.1534158990277        773.153132288087         773.1532102141557        773.1529995420831
2.5                      773.1517758774008        773.151627017598         773.1519345762746        773.1517739814162        773.1518179864408        773.1516987848395
2.6                      773.1508754352299        773.150802123512         773.1509536759137        773.15087465499          773.1508961452312        773.1508374577463
2.7                      773.1500843772413        773.1500773821369        773.1500919269299        773.1500843949646        773.1500862615658        773.1500807404452
2.8                      773.1496813223843        773.1497080987341        773.1496528516616        773.1496817608524        773.149673673674         773.1496951768221
2.9000000000000004       773.1496662706667        773.149694273304         773.1496364501085        773.1496667526536        773.1496583815557        773.1496807668758
3                        773.1495076800908        773.1495489667215        773.1494636862675        773.1495083034714        773.1494960332143        773.1495290572184
3.1                      773.1494567405452        773.149502290987         773.1494081942056        773.1494573786931        773.1494438721546        773.1494803268163
3.2                      773.1495380070536        773.1495767406458        773.1494967229572        773.1495385113815        773.1495270451551        773.1495580640652
3.3000000000000003       773.1496454832686        773.1496752045409        773.1496138036578        773.149645835            773.1496370480832        773.1496608738178
3.4000000000000004       773.1496891023615        773.149715165686         773.1496613204669        773.1496893929689        773.149681683148         773.1497025988681
3.5                      773.1497535992266        773.1497742560783        773.1497315807867        773.1497538164565        773.1497476900493        773.1497642959212
3.6                      773.1498379054884        773.1498514968271        773.1498234207575        773.1498380380261        773.1498339754975        773.1498449429523
3.7                      773.149881674257         773.1498915960699        773.1498711006881        773.1498817643825        773.1498787858999        773.1498868115565
3.8000000000000003       773.1499185809846        773.149925408386         773.1499113053716        773.1499186410604        773.1499165816824        773.1499221159828
3.9000000000000004       773.1499486256496        773.1499529337755        773.149944034808         773.1499486680597        773.149947362845         773.1499508562251
4                        773.1499737354445        773.1499759380945        773.1499713884089        773.1499737633224        773.1499730899336        773.1499748758517
4.1                      773.1499948216747        773.1499952563503        773.149994358908         773.1499948337712        773.1499946900168        773.1499950466255
4.2                      773.1500107528985        773.1500098518338        773.1500117137704        773.1500107534101        773.1500110120861        773.1500102862001
4.300000000000001        773.1500215291244        773.150019724545         773.1500234529962        773.1500215222388        773.1500220561417        773.1500205945906
4.4                      773.1500271503362        773.1500248744841        773.1500295765854        773.1500271402577        773.1500278221832        773.1500259717841
4.5                      773.1500276165721        773.1500253016508        773.1500300845378        773.1500276074663        773.1500283102112        773.1500264177869
4.6                      773.1500229278034        773.1500210060456        773.1500249768534        773.150022923865         773.1500235202253        773.1500219326028
4.7                      773.1500220150415        773.1500201698097        773.1500239825917        773.1500220118244        773.1500225908497        773.150021059481
4.800000000000001        773.1500240005427        773.1500219887577        773.1500261455268        773.1500239944047        773.1500246238902        773.1500229587456
4.9                      773.1500245227811        773.1500224671014        773.1500267144269        773.150024514324         773.1500251564562        773.1500234582587
5                        773.1500235817238        773.1500216048412        773.1500256892916        773.1500235715821        773.150024188548         773.15002255802
5                        773.1500235817238        773.1500216048412        773.1500256892916        773.1500235715821        773.150024188548         773.15002255802
6                        773.1500016170619        773.1500014812293        773.1500017616432        773.150001610774         773.1500016433611        773.1500015467377
7                        773.14999930543          773.1499993637158        773.1499992434035        773.1499993071039        773.1499992894471        773.1499993356343
8                        773.1499999170713        773.1499999240837        773.1499999097235        773.1499999172908        773.1499999170791        773.1499999207265
9                        773.1500000668921        773.150000061305         773.1500000728963        773.1500000663635        773.1500000658818        773.1500000640104
10                       773.1500000282248        773.150000025884         773.150000030774         773.1500000279814        773.150000025402         773.1500000270211
11                       773.1500000024647        773.150000002276         773.150000002705         773.1500000025763        773.150000002305         773.1500000023759
12                       773.1499999980281        773.149999998221         773.1499999978854        773.1499999981546        773.1499999989512        773.1499999981397
