% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:23
% Table:              2800tempsPine - 
% Time                   Tv (K)                   Tst (K), Point: 45       Tc (K), Point: 48        Tl (K), Point: 49        Tw (K), Point: 50        Tsa (K)
0                        293.48980483595113       297.58128990714505       293.2088336429054        296.1739659999629        297.79457851033317       297.719488309909
0.05                     392.62605205758643       452.7019442665388        346.5537616288685        466.1598790460939        414.5219208083779        436.65144821221554
0.1                      457.7602315370825        516.9700644927332        409.4600597271901        528.2235464294239        467.60282052570295       496.9877943027271
0.15000000000000002      506.05902204425445       561.5428778787226        460.0518326104941        569.096693595369         510.28067915076997       540.4874530062698
0.2                      543.9873705855924        595.3133811070127        501.4503916534719        599.487375284281         545.1606255617778        574.1854901905511
0.25                     574.7890275747319        622.0098826293987        535.8980882443241        623.442156720053         574.1517955120331        601.3338367872012
0.30000000000000004      600.1833101007012        643.4866110863129        564.8096696245151        642.8046703809229        598.4610851226137        623.5871617268507
0.35000000000000003      621.5367914085147        661.1746868222915        589.4144242174775        658.9140092255523        619.134514349298         642.2299350639875
0.4                      639.7983696990118        676.0336950892722        610.6433007200613        672.6090919152712        636.9605054831976        658.1317023926213
0.45                     655.535942550566         688.6266754090904        629.0751191467665        684.3678605396369        652.4289285502565        671.8068249203325
0.5                      669.0856376454864        699.2814994892152        645.0621601773936        694.4628354266059        665.8406934849534        683.557302018501
0.55                     680.8933668950681        708.4288815458119        659.075915939604         703.2514198464918        677.5937174389637        693.7822962660072
0.6000000000000001       691.1822659863799        716.2791126683601        671.3583152789713        710.9065986720329        687.8920399097199        702.6798313715376
0.65                     700.1763342409089        723.0423681772604        682.1527907846819        717.601587406505         696.940817764874         710.4485389229909
0.7000000000000001       708.0779615890061        728.9052544350888        691.6823204541514        723.4901123893068        704.9276370503285        717.2670235338679
0.75                     715.059334426629         734.0230982513069        700.1392046781652        728.7008526823344        712.0141949668733        723.2865276570622
0.8                      721.3288969556304        738.5776162192788        707.7599944754904        733.3873102035807        718.3989457147003        728.6891574208204
0.8500000000000001       726.9170794997897        742.5955305138042        714.5791012935238        737.5719746992339        724.1107711927781        733.5015304744094
0.9                      731.8538640264522        746.1019103156209        720.6309715689889        741.2768239906704        729.1789032457775        737.7497537115502
0.9500000000000001       736.3114166429845        749.2435345845303        726.1121925014606        744.628466678905         733.7694616668612        741.5840071978602
1                        740.1991378776621        751.9431634013325        730.919313436762         747.5602771513461        737.7950287538004        744.9252612403384
1                        740.1991378776621        751.9431634013325        730.919313436762         747.5602771513461        737.7950287538004        744.9252612403384
1.1                      746.8029528923636        756.467581412857         739.1290516366441        752.5585812461945        744.6696335518129        750.596970402107
1.2                      752.0157045235086        759.963879380814         745.6651152024003        756.5280156289849        750.1423174133274        755.0693464146716
1.3                      756.1590918088272        762.6912173484185        750.9020836803213        759.703356327688         754.5270046525261        758.6213120518959
1.4                      759.4839227847359        764.8447388489066        755.1353096673708        762.2673561865212        758.0710365741071        761.4696794790706
