% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              10000tempsPine - 
% Time                   Tv (K)                   Tst (K), Point: 19       Tc (K), Point: 22        Tl (K), Point: 23        Tw (K), Point: 24        Tsa (K)
0                        293.2458404699215        295.30613269343644       293.15535684944          294.12051787583766       295.1975014336799        295.31546500915096
0.05                     323.4218094151533        417.59670856729946       293.27363139586663       418.8332653835352        404.1749987577091        412.4706149996753
0.1                      347.56165003918807       457.7920964819157        295.1327278728965        465.9681023070207        437.9752135975093        449.21908796451174
0.15000000000000002      368.60526063381894       485.5866794295079        300.9132957178834        497.9702233061676        460.3454462351311        474.2987417465187
0.2                      387.4469794541326        507.36087427469226       309.93458245215834       522.4548001954142        477.3368555800389        493.82518450457263
0.25                     404.5544699149104        525.425195808584         320.78781806756507       542.2978506029916        491.16434933465774       510.0116763538307
0.30000000000000004      420.2014240029559        540.8162768929833        332.5771712921347        558.816739148626         502.83427456846726       523.8486751494165
0.35000000000000003      434.62833747840966       554.2831371068454        344.64628218429976       572.976581403694         513.0712438088568        536.0412808920908
0.4                      448.0263669613247        566.2926842709379        356.6435686938072        585.3810923790103        522.3057762015052        547.0129174622471
0.45                     460.52027186321783       577.111630797418         368.40854051063013       596.3750085760945        530.7697634674462        556.9972535346316
0.5                      472.19128320282925       586.8935548908279        379.8777629194335        606.1569820760492        538.589285852125         566.123531167889
0.55                     483.15038697666          595.838948158532         390.98405498140625       614.9803267718614        545.9138105343951        574.5590572460682
0.6000000000000001       493.4583666871481        604.0459682413152        401.71615171333343       622.9682960783385        552.8078422260284        582.382508230273
0.65                     503.1769976085282        611.6128473615197        412.06529490205753       630.2433145313128        559.334701406782         589.6726277702334
0.7000000000000001       512.3651562282643        618.6271306291094        422.0355310559373        636.9128246461516        565.5455767308766        596.4983899048792
0.75                     521.0761781580501        625.162678302238         431.6411534944096        643.0658624425331        571.4791536874867        602.9172242855404
0.8                      529.3812731444607        631.3093454445511        440.91480316441596       648.8078854474428        577.1781918669006        608.9992525086257
