	sphere				Shell model (no microstructure) 				Microstructure model		
Time(s)	Volume averaged	surface	center		volume averaged	surface	center		volume averaged	surface	center
3.2	771.3461	771.69321	770.74351		772.88124	773.03616	772.74895		772.73403	772.99601	772.49099
3.25	771.48426	771.8048	770.92777		772.90904	773.04801	772.79028		772.77463	773.0112	772.55491
3.3	771.61182	771.90784	771.09791		772.93396	773.05862	772.82736		772.81127	773.02488	772.61264
3.35	771.7296	772.00296	771.25501		772.95631	773.06813	772.86062		772.84432	773.03721	772.66479
3.4	771.83835	772.0908	771.40006		772.97634	773.07664	772.89046		772.87415	773.04832	772.71188
3.45	771.93876	772.17189	771.534		772.9943	773.08426	772.91722		772.90106	773.05832	772.75441
3.5	772.03148	772.24677	771.65768		773.0104	773.09109	772.94123		772.92535	773.06734	772.79282
3.55	772.11709	772.31591	771.77189		773.02484	773.09721	772.96276		772.94726	773.07547	772.8275
3.6	772.19614	772.37975	771.87734		773.03778	773.10269	772.98207		772.96704	773.08279	772.85883
3.65	772.26914	772.43871	771.97472		773.04938	773.1076	772.9994		772.98489	773.0894	772.88711
3.7	772.33655	772.49314	772.06465		773.05978	773.112	773.01494		773.00099	773.09535	772.91265
3.75	772.39879	772.54341	772.14769		773.06911	773.11594	773.02887		773.01552	773.10071	772.93571
3.8	772.45627	772.58982	772.22437		773.07747	773.11947	773.04137		773.02864	773.10555	772.95654
3.85	772.50934	772.63268	772.29518		773.08497	773.12264	773.05258		773.04047	773.10991	772.97534
3.9	772.55836	772.67226	772.36057		773.09169	773.12548	773.06264		773.05115	773.11384	772.99232
3.95	772.60362	772.70881	772.42096		773.09772	773.12802	773.07165		773.06079	773.11738	773.00765
4	772.64542	772.74256	772.47673		773.10313	773.1303	773.07974		773.06949	773.12058	773.02149
4.05	772.68401	772.77373	772.52823		773.10797	773.13234	773.08699		773.07734	773.12346	773.03399
4.1	772.71966	772.80251	772.57578		773.11232	773.13417	773.0935		773.08442	773.12606	773.04527
4.15	772.75258	772.82909	772.6197		773.11621	773.13581	773.09933		773.09082	773.1284	773.05545
4.2	772.78297	772.85364	772.66026		773.1197	773.13728	773.10456		773.09659	773.13052	773.06465
4.25	772.81105	772.87631	772.69772		773.12284	773.1386	773.10925		773.10179	773.13242	773.07295
4.3	772.83697	772.89724	772.73231		773.12564	773.13978	773.11346		773.10649	773.13414	773.08045
