% Model:              all_models_pine_case_sol1.mph
% Version:            COMSOL 4.3.2.164
% Date:               Sep 24 2015, 14:22
% Table:              5400tempsPine - 
% Time                   Tv (K)                   Tst (K), Point: 32       Tc (K), Point: 35        Tl (K), Point: 36        Tw (K), Point: 37        Tsa (K)
0                        293.32675382916386       295.627502291483         293.16567898186673       294.43819657264675       297.06605692893737       296.5843086450898
0.05                     348.08387733534363       427.87287933670893       300.3148867774781        439.16574503180857       406.852866483713         418.33134374636677
0.1                      389.55518880110566       476.42233174740375       326.65757993679716       492.5770786621506        441.9011050951866        461.05090776279053
0.15000000000000002      423.60569518616813       510.9848044452655        356.1521849953387        528.3958761260209        467.1029249074336        492.12595896558577
0.2                      452.505715596801         538.1966351944525        383.8302827347624        555.4806720230744        488.39801318559483       517.3606413275863
0.25                     477.5595784935723        560.6517532762459        409.1350420261902        577.1824596409941        507.335253115095         538.7349067961585
0.30000000000000004      499.5252994777624        579.5921924501337        432.2139557088593        595.0418204686899        524.4285591771173        557.1619656642766
0.35000000000000003      519.0418301813125        595.9522027088709        453.32714944406905       610.1844757772593        540.0176143899581        573.3428650043596
0.4                      536.585360829799         610.341052110173         472.74667432840744       623.3173041670999        554.3294211771548        587.7582120856737
0.45                     552.4531749539564        623.1131800127025        490.661149151487         634.8418200244732        567.5107403999756        600.6981034742272
0.5                      566.8288891364331        634.4744448141134        507.1969027725065        644.985644629082         579.6593213284569        612.3373159505053
0.55                     579.9593923562458        644.6961666446983        522.5287758387304        654.0457853344806        590.9087499940044        622.9085593661215
0.6000000000000001       591.9735917630474        653.9122825880927        536.7556857668317        662.1639677451948        601.3346883061836        632.5301796026165
0.65                     603.0016819999857        662.2572785838078        549.9788634670905        669.4816876249345        611.0143581885505        641.3212693052285
0.7000000000000001       613.1644474561598        669.8520674129712        562.2968265931431        676.123142469859         620.0226115908698        649.3905754825809
0.75                     622.567987620899         676.799565066854         573.8009860060675        682.1908354570738        628.4285100346349        656.8319725000895
0.8                      631.3480266347055        683.2264104174324        584.6173928747863        687.8052944969425        636.3260729823162        663.7626984617691
0.8500000000000001       639.5241616642372        689.1510406534342        594.7639854756458        692.9842383152146        643.7287097389096        670.1997648957687
0.9                      647.1171756800948        694.5922145096754        604.2615443704306        697.7445025787637        650.6522934434169        676.1607685391884
0.9500000000000001       654.24310483016          699.6563205597253        613.2224323695336        702.1841577953428        657.1820051289959        681.7448812926267
1                        660.8408870746388        704.2873736348826        621.5875204642228        706.2515960362339        663.2730197326586        686.8999156382008
1                        660.8408870746388        704.2873736348826        621.5875204642228        706.2515960362339        663.2730197326586        686.8999156382008
1.1                      672.8240103593544        712.5870355995223        636.8997903940771        713.5747413889036        674.4150426441313        696.2378131534932
